Milliseconds,X_Traori_Transformed,Y_Traori_Transformed,Z_Traori_Transformed,Fx_N,Fy_N,Fz_N,ACT_POSITION_X,ACT_POSITION_Y,ACT_POSITION_Z,ACT_POSITION_A,ACT_POSITION_C_Updated,ACT_OVERRIDE,SPINDLE_ROTATION_ANGLE,SPINDLE_SPEED,ACT_CURRENT_X,ACT_CURRENT_Y,ACT_CURRENT_Z,ACT_CURRENT_A,ACT_CURRENT_C,ACT_CURRENT_S,ACTIVE_TOOL_RADIUS,ACTIVE_TOOL_LENGTH,Zero_Offset_X,Zero_Offset_Y,Zero_Offset_Z,Zero_Offset_C
174.05,-215.52291639999999,-309.73136407779725,-153.16503767307526,0.061037,-8.331551,3.723257,17.4680672,16.7269917,-13.0496922,-3.32098643e-05,0.0,100,258.536255,23998.9473,-0.476806641,0.6101074,3.21972656,-0.158203125,-0.222961426,-2.45068359,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.1,-215.52291639999999,-309.73136407779725,-153.16503767307526,0.976592,-8.667254,3.69273853,17.4680672,16.7269917,-13.0496922,-3.32098643e-05,0.0,100,258.536255,23998.9473,-0.476806641,0.6101074,3.21972656,-0.158203125,-0.222961426,-2.45068359,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.15,-215.6019188,-309.77444795446195,-153.1656325681337,2.67036867,-8.026365,3.93688655,17.3890648,16.68374,-13.0499477,2.95691534e-05,0.0,100,330.550262,23998.26,-0.413574219,0.5930176,3.25219727,-0.146118164,-0.2364502,-2.36865234,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.2,-215.641378,-309.79517013050486,-153.16603692174198,4.68459,-9.323401,3.357035,17.3496056,16.66285,-13.0500126,9.234817e-05,0.0,100,186.551086,24001.4648,-0.439208984,0.6477051,3.22143555,-0.198852539,-0.223754883,-1.95849609,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.25,-215.68029658401989,-309.816875258694,-153.1659626422135,3.87584949,-9.598068,3.78429413,17.3103981,16.6415138,-13.0502777,2.95788232e-05,5.34305036e-05,100,42.5683861,23999.291,-0.444335938,0.531494141,3.2590332,-0.185668945,-0.246765137,-1.11425781,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.3,-215.7193466,-309.8382279545969,-153.1653523010687,6.9124403,-9.033476,3.906368,17.271637,16.61996,-13.0496674,2.9569157e-05,0.0,100,258.532135,23998.7188,-0.5366211,0.640869141,3.22827148,-0.174682617,-0.215820313,-2.77880859,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.35,-215.7976986,-309.88080010466973,-153.1660276120583,7.263403,-9.277624,3.78429413,17.193285,16.57722,-13.0500031,9.235784e-05,0.0,100,330.5379,23998.26,-0.540039063,0.596435547,3.26586914,-0.165893555,-0.233276367,-2.64208984,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.4,-215.8371597,-309.9014538803545,-153.1663729049334,11.4749565,-9.17081,3.906368,17.1538239,16.5563984,-13.0500088,0.000155136862,0.0,100,186.546967,24001.6934,-0.550292969,0.65625,3.2265625,-0.223022461,-0.223754883,-1.76367188,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.45,-215.8769299,-309.9228522535465,-153.1667335151416,12.7719927,-9.414957,3.967405,17.1140537,16.535,-13.0503693,0.000155146525,0.0,100,42.5601463,23999.1758,-0.476806641,0.57421875,3.25561523,-0.20324707,-0.242797852,-0.704101563,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
174.5,-215.9558922,-309.9656765777919,-153.16728414390263,14.9388056,-6.790366,3.234961,17.0350914,16.49184,-13.0502405,0.000280714245,0.0,100,114.554924,24001.4648,-0.488769531,0.531494141,3.2265625,-0.237304688,-0.244384766,-1.36035156,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
